tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
1,   3503 ,  247 ,  10   , 2086, 1.36   , 2679
2,   3504 ,  236 ,  10   , 2086, 1.36   , 2671
3,   3504 ,  236 ,  10   , 2086, 1.36   , 2671
4,   3504 ,  244 ,  10   , 2086, 1.36   , 2678
5,   3504 ,  247 ,  10   , 2086, 1.36   , 2681
6,   3505 ,  246 ,  10   , 2086, 1.36   , 2681
7,   3509 ,  243 ,  10   , 2086, 1.36   , 2678
8,   3506 ,  251 ,  10   , 2086, 1.36   , 2686
9,   3506 ,  251 ,  10   , 2086, 1.36   , 2686
10,   3507 ,  250 ,  10   , 2086, 1.35   , 2685
11,   3508 ,  245 ,  10   , 2086, 1.35   , 2678
12,   3509 ,  243 ,  10   , 2086, 1.35   , 2677
13,   3514 ,  212 ,  10   , 2086, 1.36   , 2646
14,   3545 ,  163 ,  10   , 2086, 1.36   , 2597
15,   3547 ,  167 ,  10   , 2086, 1.36   , 2601
16,   3547 ,  159 ,  10   , 2086, 1.35   , 2593
17,   3545 ,  164 ,  10   , 2086, 1.35   , 2599
18,   3537 ,  174 ,  10   , 2086, 1.35   , 2607
19,   3529 ,  172 ,  10   , 2086, 1.35   , 2606
20,   3532 ,  173 ,  10   , 2086, 1.35   , 2608
21,   3542 ,  161 ,  10   , 2086, 1.35   , 2596
22,   3544 ,  165 ,  10   , 2086, 1.35   , 2601
23,   3549 ,  136 ,  10   , 2086, 1.35   , 2569
24,   3649 ,  154 ,  15   , 2082, 1.35   , 2487
25,   3638 ,  193 ,  15   , 2082, 1.35   , 2520
26,   3625 ,  206 ,  15   , 2082, 1.35   , 2533
27,   3647 ,  157 ,  15   , 2082, 1.35   , 2492
29,   3663 ,  151 ,  15   , 2082, 1.35   , 2481
30,   3682 ,  124 ,  15   , 2082, 1.35   , 2454
31,   3695 ,  138 ,  15   , 2082, 1.35   , 2454
32,   3699 ,  152 ,  15   , 2082, 1.36   , 2428
33,   3716 ,  151 ,  15   , 2082, 1.36   , 2396
34,   3699 ,  193 ,  15   , 2082, 1.36   , 2438
35,   3700 ,  194 ,  15   , 2082, 1.36   , 2439
36,   3662 ,  235 ,  15   , 2082, 1.36   , 2479
37,   3668 ,  236 ,  15   , 2082, 1.35   , 2480
38,   3679 ,  229 ,  15   , 2082, 1.35   , 2474
39,   3678 ,  230 ,  15   , 2082, 1.35   , 2475
40,   3679 ,  224 ,  15   , 2082, 1.35   , 2470
41,   3676 ,  228 ,  15   , 2082, 1.35   , 2474
42,   3644 ,  261 ,  15   , 2082, 1.35   , 2508
43,   3640 ,  262 ,  15   , 2082, 1.35   , 2508
44,   3640 ,  264 ,  15   , 2082, 1.35   , 2509
45,   3636 ,  267 ,  15   , 2082, 1.35   , 2514
46,   3637 ,  269 ,  15   , 2082, 1.35   , 2515
47,   3638 ,  268 ,  15   , 2082, 1.35   , 2515
48,   3639 ,  267 ,  15   , 2082, 1.35   , 2514
49,   3640 ,  267 ,  15   , 2082, 1.35   , 2513
50,   3642 ,  269 ,  15   , 2082, 1.35   , 2515
51,   3641 ,  270 ,  15   , 2082, 1.35   , 2515
