tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   3476 ,  401 ,  16   , 2081, 0.97   , 2644
1,   3477 ,  372 ,  16   , 2081, 0.97   , 2636
3,   3477 ,  392 ,  16   , 2081, 0.97   , 2656
4,   3477 ,  392 ,  16   , 2081, 0.97   , 2657
5,   3477 ,  392 ,  16   , 2081, 0.97   , 2657
6,   3478 ,  395 ,  16   , 2081, 0.97   , 2658
7,   3478 ,  393 ,  16   , 2081, 0.96   , 2656
8,   3477 ,  408 ,  16   , 2081, 0.96   , 2671
9,   3478 ,  408 ,  16   , 2081, 0.96   , 2671
10,   3479 ,  407 ,  16   , 2081, 0.96   , 2672
11,   3479 ,  410 ,  16   , 2081, 0.96   , 2674
12,   3477 ,  412 ,  16   , 2081, 0.96   , 2675
13,   3478 ,  408 ,  16   , 2081, 0.96   , 2672
14,   3478 ,  408 ,  16   , 2081, 0.96   , 2671
15,   3477 ,  408 ,  16   , 2081, 0.96   , 2672
16,   3477 ,  412 ,  16   , 2081, 0.96   , 2677
17,   3478 ,  411 ,  16   , 2081, 0.96   , 2675
18,   3478 ,  407 ,  16   , 2081, 0.95   , 2672
19,   3478 ,  408 ,  16   , 2081, 0.95   , 2672
20,   3478 ,  411 ,  16   , 2081, 0.95   , 2674
21,   3478 ,  411 ,  16   , 2081, 0.95   , 2675
22,   3477 ,  411 ,  16   , 2081, 0.95   , 2675
23,   3479 ,  407 ,  16   , 2081, 0.95   , 2671
24,   3479 ,  407 ,  16   , 2081, 0.95   , 2671
25,   3479 ,  410 ,  16   , 2081, 0.95   , 2674
26,   3478 ,  403 ,  16   , 2081, 0.95   , 2666
27,   3478 ,  381 ,  16   , 2081, 0.95   , 2645
28,   3478 ,  379 ,  16   , 2081, 0.95   , 2642
29,   3478 ,  396 ,  16   , 2081, 0.95   , 2659
31,   3478 ,  391 ,  16   , 2081, 0.95   , 2655
32,   3480 ,  389 ,  16   , 2081, 0.94   , 2656
33,   3493 ,  350 ,  16   , 2081, 0.94   , 2613
34,   3494 ,  375 ,  16   , 2081, 0.94   , 2639
35,   3494 ,  380 ,  16   , 2081, 0.94   , 2643
36,   3493 ,  371 ,  16   , 2081, 0.94   , 2635
37,   3494 ,  371 ,  16   , 2081, 0.94   , 2635
