tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   3683 ,  154 ,  17   , 2079, 0.45   , 2279
1,   3685 ,  152 ,  17   , 2079, 0.45   , 2279
2,   3686 ,  189 ,  17   , 2079, 0.45   , 2314
3,   3688 ,  187 ,  17   , 2079, 0.45   , 2314
4,   3686 ,  192 ,  17   , 2079, 0.45   , 2319
5,   3687 ,  191 ,  17   , 2079, 0.45   , 2317
6,   3688 ,  190 ,  17   , 2079, 0.45   , 2315
7,   3688 ,  186 ,  17   , 2079, 0.45   , 2313
8,   3688 ,  187 ,  17   , 2079, 0.45   , 2313
9,   3687 ,  187 ,  17   , 2079, 0.45   , 2313
10,   3693 ,  151 ,  17   , 2079, 0.45   , 2278
12,   3693 ,  147 ,  17   , 2079, 0.45   , 2278
13,   3695 ,  157 ,  17   , 2079, 0.45   , 2284
14,   3701 ,  144 ,  17   , 2079, 0.45   , 2267
15,   3702 ,  139 ,  17   , 2079, 0.45   , 2266
16,   3702 ,  147 ,  17   , 2079, 0.45   , 2273
17,   3700 ,  162 ,  17   , 2079, 0.45   , 2289
18,   3700 ,  158 ,  17   , 2079, 0.45   , 2285
19,   3700 ,  153 ,  17   , 2079, 0.45   , 2279
20,   3709 ,  133 ,  17   , 2079, 0.45   , 2259
21,   3708 ,  135 ,  17   , 2079, 0.45   , 2261
22,   3712 ,  135 ,  17   , 2079, 0.45   , 2264
23,   3712 ,  141 ,  17   , 2079, 0.45   , 2272
24,   3714 ,  155 ,  17   , 2079, 0.45   , 2283
25,   3724 ,  135 ,  17   , 2079, 0.45   , 2263
26,   3728 ,  135 ,  17   , 2079, 0.45   , 2245
27,   3729 ,  133 ,  17   , 2079, 0.46   , 2242
28,   3731 ,  140 ,  17   , 2079, 0.46   , 2222
29,   3731 ,  145 ,  17   , 2079, 0.46   , 2224
30,   3732 ,  147 ,  17   , 2079, 0.46   , 2226
31,   3729 ,  153 ,  17   , 2079, 0.46   , 2231
32,   3732 ,  162 ,  17   , 2079, 0.46   , 2241
33,   3732 ,  161 ,  17   , 2079, 0.46   , 2241
34,   3731 ,  166 ,  17   , 2079, 0.46   , 2247
35,   3731 ,  166 ,  17   , 2079, 0.46   , 2246
36,   3732 ,  170 ,  17   , 2079, 0.46   , 2248
37,   3733 ,  166 ,  17   , 2079, 0.46   , 2246
39,   3733 ,  167 ,  17   , 2079, 0.45   , 2247
40,   3732 ,  172 ,  17   , 2079, 0.45   , 2251
41,   3732 ,  169 ,  17   , 2079, 0.45   , 2248
42,   3733 ,  169 ,  17   , 2079, 0.45   , 2248
43,   3732 ,  170 ,  17   , 2079, 0.45   , 2250
44,   3734 ,  170 ,  17   , 2079, 0.45   , 2250
45,   3737 ,  163 ,  17   , 2079, 0.45   , 2242
46,   3739 ,  156 ,  17   , 2079, 0.45   , 2236
47,   3742 ,  154 ,  17   , 2079, 0.45   , 2235
48,   3744 ,  156 ,  17   , 2079, 0.45   , 2237
49,   3745 ,  159 ,  17   , 2079, 0.45   , 2240
50,   3743 ,  164 ,  17   , 2079, 0.45   , 2245
51,   3742 ,  165 ,  17   , 2079, 0.45   , 2246
52,   3729 ,  181 ,  17   , 2079, 0.45   , 2263
53,   3728 ,  181 ,  17   , 2079, 0.45   , 2263
54,   3729 ,  180 ,  17   , 2079, 0.45   , 2263
55,   3714 ,  196 ,  17   , 2079, 0.45   , 2278
