tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   3484 ,  311 ,  16   , 2081, 0.66   , 2633
1,   3485 ,  299 ,  16   , 2081, 0.66   , 2625
2,   3485 ,  298 ,  16   , 2081, 0.66   , 2625
3,   3486 ,  298 ,  16   , 2081, 0.66   , 2625
4,   3485 ,  301 ,  16   , 2081, 0.66   , 2627
5,   3485 ,  301 ,  16   , 2081, 0.66   , 2628
6,   3487 ,  299 ,  16   , 2081, 0.66   , 2627
7,   3485 ,  315 ,  16   , 2081, 0.65   , 2641
8,   3486 ,  314 ,  16   , 2081, 0.65   , 2641
9,   3486 ,  315 ,  16   , 2081, 0.65   , 2641
10,   3485 ,  318 ,  16   , 2081, 0.65   , 2645
11,   3487 ,  317 ,  16   , 2081, 0.65   , 2644
12,   3486 ,  314 ,  16   , 2081, 0.65   , 2640
13,   3484 ,  316 ,  16   , 2081, 0.65   , 2642
14,   3484 ,  317 ,  16   , 2081, 0.65   , 2644
15,   3484 ,  319 ,  16   , 2081, 0.65   , 2646
16,   3484 ,  318 ,  16   , 2081, 0.65   , 2646
17,   3484 ,  316 ,  16   , 2081, 0.65   , 2643
18,   3484 ,  316 ,  16   , 2081, 0.65   , 2643
20,   3484 ,  319 ,  16   , 2081, 0.64   , 2645
21,   3484 ,  319 ,  16   , 2081, 0.64   , 2646
22,   3484 ,  315 ,  16   , 2081, 0.64   , 2642
23,   3485 ,  315 ,  16   , 2081, 0.64   , 2642
24,   3485 ,  315 ,  16   , 2081, 0.64   , 2642
25,   3485 ,  319 ,  16   , 2081, 0.64   , 2645
26,   3485 ,  318 ,  16   , 2081, 0.64   , 2645
27,   3485 ,  315 ,  16   , 2081, 0.64   , 2643
28,   3484 ,  316 ,  16   , 2081, 0.64   , 2642
29,   3485 ,  315 ,  16   , 2081, 0.64   , 2643
30,   3485 ,  318 ,  16   , 2081, 0.64   , 2645
31,   3484 ,  319 ,  16   , 2081, 0.63   , 2646
32,   3484 ,  315 ,  16   , 2081, 0.63   , 2642
33,   3487 ,  313 ,  16   , 2081, 0.63   , 2641
34,   3487 ,  314 ,  16   , 2081, 0.63   , 2640
35,   3486 ,  317 ,  16   , 2081, 0.63   , 2644
36,   3486 ,  317 ,  16   , 2081, 0.63   , 2644
37,   3484 ,  316 ,  16   , 2081, 0.63   , 2643
38,   3484 ,  316 ,  16   , 2081, 0.63   , 2643
39,   3484 ,  316 ,  16   , 2081, 0.63   , 2643
40,   3484 ,  319 ,  16   , 2081, 0.63   , 2646
41,   3485 ,  318 ,  16   , 2081, 0.63   , 2646
42,   3484 ,  315 ,  16   , 2081, 0.63   , 2642
43,   3485 ,  315 ,  16   , 2081, 0.62   , 2642
45,   3485 ,  315 ,  16   , 2081, 0.62   , 2642
46,   3481 ,  322 ,  16   , 2081, 0.62   , 2648
47,   3481 ,  322 ,  16   , 2081, 0.62   , 2648
48,   3480 ,  320 ,  16   , 2081, 0.62   , 2646
49,   3481 ,  319 ,  16   , 2081, 0.62   , 2646
50,   3481 ,  319 ,  16   , 2081, 0.62   , 2647
51,   3481 ,  322 ,  16   , 2081, 0.62   , 2650
52,   3480 ,  323 ,  16   , 2081, 0.62   , 2649
53,   3480 ,  320 ,  16   , 2081, 0.62   , 2647
54,   3482 ,  318 ,  16   , 2081, 0.62   , 2645
55,   3482 ,  318 ,  16   , 2081, 0.61   , 2645
56,   3482 ,  321 ,  16   , 2081, 0.61   , 2648
57,   3482 ,  322 ,  16   , 2081, 0.61   , 2649
58,   3482 ,  318 ,  16   , 2081, 0.61   , 2645
59,   3482 ,  318 ,  16   , 2081, 0.61   , 2645
60,   3482 ,  318 ,  16   , 2081, 0.61   , 2645
61,   3482 ,  321 ,  16   , 2081, 0.61   , 2648
62,   3483 ,  319 ,  16   , 2081, 0.61   , 2645
63,   3481 ,  318 ,  16   , 2081, 0.61   , 2645
64,   3483 ,  318 ,  16   , 2081, 0.61   , 2645
65,   3482 ,  317 ,  16   , 2081, 0.61   , 2645
66,   3481 ,  321 ,  16   , 2081, 0.61   , 2648
67,   3483 ,  321 ,  16   , 2081, 0.60   , 2648
68,   3483 ,  316 ,  16   , 2081, 0.60   , 2644
69,   3483 ,  317 ,  16   , 2081, 0.60   , 2644
71,   3483 ,  317 ,  16   , 2081, 0.60   , 2644
72,   3483 ,  320 ,  16   , 2081, 0.60   , 2648
73,   3483 ,  320 ,  16   , 2081, 0.60   , 2647
74,   3483 ,  317 ,  16   , 2081, 0.60   , 2644
75,   3483 ,  317 ,  16   , 2081, 0.60   , 2644
76,   3484 ,  319 ,  16   , 2081, 0.60   , 2647
77,   3483 ,  320 ,  16   , 2081, 0.60   , 2648
78,   3482 ,  320 ,  16   , 2081, 0.60   , 2644
79,   3484 ,  316 ,  16   , 2081, 0.60   , 2644
80,   3483 ,  317 ,  16   , 2081, 0.59   , 2644
81,   3483 ,  320 ,  16   , 2081, 0.59   , 2647
82,   3482 ,  321 ,  16   , 2081, 0.59   , 2648
83,   3482 ,  318 ,  16   , 2081, 0.59   , 2644
84,   3483 ,  316 ,  16   , 2081, 0.59   , 2644
85,   3483 ,  316 ,  16   , 2081, 0.59   , 2644
86,   3483 ,  320 ,  16   , 2081, 0.59   , 2647
87,   3483 ,  320 ,  16   , 2081, 0.59   , 2647
88,   3483 ,  317 ,  16   , 2081, 0.59   , 2644
89,   3483 ,  316 ,  16   , 2081, 0.59   , 2644
90,   3481 ,  283 ,  16   , 2081, 0.59   , 2610
91,   3474 ,  291 ,  16   , 2081, 0.59   , 2620
92,   3472 ,  325 ,  16   , 2081, 0.58   , 2653
93,   3475 ,  318 ,  16   , 2081, 0.58   , 2648
94,   3474 ,  309 ,  16   , 2081, 0.58   , 2639
95,   3476 ,  305 ,  16   , 2081, 0.58   , 2636
97,   3475 ,  309 ,  16   , 2081, 0.58   , 2641
98,   3474 ,  309 ,  16   , 2081, 0.58   , 2641
99,   3474 ,  308 ,  16   , 2081, 0.58   , 2643
100,   3475 ,  306 ,  16   , 2081, 0.58   , 2641
101,   3475 ,  305 ,  16   , 2081, 0.58   , 2642
102,   3475 ,  305 ,  16   , 2081, 0.58   , 2642
103,   3476 ,  303 ,  16   , 2081, 0.58   , 2644
104,   3476 ,  302 ,  16   , 2081, 0.58   , 2640
105,   3472 ,  305 ,  16   , 2081, 0.58   , 2645
106,   3474 ,  302 ,  16   , 2081, 0.57   , 2642
107,   3473 ,  303 ,  16   , 2081, 0.57   , 2644
108,   3472 ,  302 ,  16   , 2081, 0.57   , 2644
109,   3474 ,  300 ,  16   , 2081, 0.57   , 2642
110,   3473 ,  300 ,  16   , 2081, 0.57   , 2643
111,   3472 ,  300 ,  16   , 2081, 0.57   , 2644
112,   3471 ,  301 ,  16   , 2081, 0.57   , 2645
113,   3472 ,  298 ,  16   , 2081, 0.57   , 2644
114,   3472 ,  298 ,  16   , 2081, 0.57   , 2644
115,   3474 ,  295 ,  16   , 2081, 0.57   , 2642
116,   3473 ,  296 ,  16   , 2081, 0.57   , 2645
117,   3471 ,  297 ,  16   , 2081, 0.57   , 2645
118,   3471 ,  298 ,  16   , 2081, 0.57   , 2647
119,   3474 ,  292 ,  16   , 2081, 0.56   , 2643
120,   3474 ,  290 ,  16   , 2081, 0.56   , 2642
121,   3472 ,  292 ,  16   , 2081, 0.56   , 2644
122,   3475 ,  288 ,  16   , 2081, 0.56   , 2642
124,   3475 ,  289 ,  16   , 2081, 0.56   , 2642
125,   3477 ,  285 ,  16   , 2081, 0.56   , 2639
126,   3478 ,  282 ,  16   , 2081, 0.56   , 2638
127,   3476 ,  284 ,  16   , 2081, 0.56   , 2640
128,   3476 ,  283 ,  16   , 2081, 0.56   , 2640
129,   3476 ,  283 ,  16   , 2081, 0.56   , 2641
130,   3476 ,  280 ,  16   , 2081, 0.56   , 2640
131,   3476 ,  280 ,  16   , 2081, 0.56   , 2640
132,   3477 ,  278 ,  16   , 2081, 0.56   , 2639
133,   3478 ,  276 ,  16   , 2081, 0.56   , 2639
134,   3476 ,  276 ,  16   , 2081, 0.55   , 2639
135,   3477 ,  275 ,  16   , 2081, 0.55   , 2639
136,   3480 ,  272 ,  16   , 2081, 0.55   , 2637
137,   3477 ,  274 ,  16   , 2081, 0.55   , 2640
138,   3477 ,  272 ,  16   , 2081, 0.55   , 2639
139,   3477 ,  271 ,  16   , 2081, 0.55   , 2640
140,   3476 ,  272 ,  16   , 2081, 0.55   , 2641
141,   3476 ,  272 ,  16   , 2081, 0.55   , 2641
142,   3475 ,  271 ,  16   , 2081, 0.55   , 2641
